"exercise_id","exercise_name","review_stage","current_configuration_verdict","targets_review_status","technical_finding","required_next_evidence","independent_reviewer","reviewed_at","ready_for_upsert"
"ceb4d99c-d903-4579-82a0-d61bced5d74f","Afundo Step Up com elevação de joelho","initial_technical_review","incomplete","needs_more_info","Quadríceps isolado não representa toda a exposição esperada de um step-up/afundo; não há base para atribuir coeficientes automaticamente.","Confirmar vídeo, apoio, amplitude e papel de glúteo/posterior; segundo revisor define coeficientes.","","","false"
"e1000001-0000-0000-0000-000000000003","Crucifixo na Máquina","initial_technical_review","partially_inconsistent","needs_more_info","Peitoral primário é coerente; tríceps como secundário é mecanicamente suspeito em movimento com cotovelo estável. Deltoide anterior depende da máquina e amplitude.","Inspecionar demonstração e configuração da máquina; segundo revisor decide manter/remover secundários.","","","false"
"68435077-73bf-4ad9-9f10-1cf1f7fe35b8","Flexão de braço","initial_technical_review","incomplete","needs_more_info","Peitoral primário é coerente, mas alvo único omite contribuição relevante de tríceps e deltoide anterior.","Conferir variante demonstrada, largura das mãos e amplitude; segundo revisor define secundários e coeficientes.","","","false"
"6cf6f6ed-9022-459c-b5ae-cbe499ba4b33","Graviton Pronado","initial_technical_review","incomplete","needs_more_info","Dorsal primário é coerente; alvo único omite flexores do cotovelo e pode omitir estabilizadores escapulares.","Confirmar pegada, trajetória e assistência no vídeo; segundo revisor define secundários.","","","false"
"d65552e0-a929-4a03-9be0-0bb86899e428","Kettlebell swing","initial_technical_review","taxonomy_conflict","needs_more_info","Performance é categoria funcional, não grupamento anatômico para séries semanais. O padrão é dominante de quadril, mas os alvos e coeficientes não devem ser inferidos pelo nome.","Separar categoria funcional do eixo muscular; validar vídeo e definir alvos anatômicos com segundo revisor.","","","false"
"ab73db0f-26d0-4e3e-931f-4e22e687e036","Mobilidade Sapinho 🐸","initial_technical_review","taxonomy_conflict","needs_more_info","Mobilidade é finalidade funcional, não grupamento anatômico comparável a volume de força.","Definir se o exercício deve ser excluído do volume muscular ou receber taxonomia específica; segundo revisor obrigatório.","","","false"
"185147fa-6622-4a7d-a7f2-cc61dffe2c45","Prancha com pés no TRX","initial_technical_review","taxonomy_conflict","needs_more_info","Estabilidade é categoria funcional; não informa exposição anatômica de core/cintura escapular para o relatório semanal.","Inspecionar execução e separar categoria funcional de alvos anatômicos; segundo revisor define tratamento no volume.","","","false"
"afbe8bbe-2cf2-4404-a609-7c9647ec3eeb","Pulldown barra","initial_technical_review","potentially_inconsistent","needs_more_info","Dorsal primário é plausível; bíceps secundário pode ser indevido se a demonstração for pulldown de braços estendidos. Nome não resolve a trajetória.","Inspecionar vídeo, flexão de cotovelo, pegada e trajetória; não alterar coeficientes sem segundo revisor.","","","false"
"9a667138-66cf-42d3-a36f-0ffb0cd611e9","Pulldown Corda","initial_technical_review","potentially_inconsistent","needs_more_info","Dorsal primário é plausível; bíceps secundário pode ser indevido se a demonstração for pulldown de braços estendidos. Corda não prova flexão de cotovelo.","Inspecionar vídeo, flexão de cotovelo e trajetória; não alterar coeficientes sem segundo revisor.","","","false"
"b222ffd2-a90e-47a2-9924-a63381446069","Remada Alta Barra","initial_technical_review","inconsistent","needs_more_info","Dorsal como primário e deltoide posterior/bíceps como secundários não descrevem bem uma remada alta; deltoide lateral e trapézio exigem avaliação explícita.","Validar vídeo, amplitude, largura da pegada e taxonomia disponível; segundo revisor propõe configuração completa.","","","false"
"bf33e722-9da1-4e32-af62-546bb5176c3a","Rosca Scott Barra","initial_technical_review","inconsistent","needs_more_info","Dorsal, deltoide posterior e trapézio são incompatíveis com a função principal de uma rosca Scott; apenas bíceps entre os alvos atuais é coerente.","Bloquear configuração atual; confirmar vídeo e grupos canônicos de flexores do cotovelo antes de propor alvos.","","","false"
"f97ce807-f666-4763-bc5f-70f491c215ec","Serrote Banco","initial_technical_review","incomplete","needs_more_info","Dorsal primário é coerente; alvo único pode omitir flexores do cotovelo, deltoide posterior e estabilizadores escapulares.","Confirmar apoio, trajetória e pegada no vídeo; segundo revisor define secundários.","","","false"
"88194a44-bee6-4693-a1a6-73d5e80aaaff","Step Up Halteres","initial_technical_review","plausible_unverified","needs_more_info","Quadríceps primário com glúteo/posterior secundários é biomecanicamente plausível; os coeficientes 0,5 continuam heurísticos e não estão aprovados.","Confirmar altura, inclinação do tronco e execução; segundo revisor valida papéis e coeficientes.","","","false"
"50ec90c8-f48d-421b-a38b-23e79a131e18","Step Up Smith","initial_technical_review","plausible_unverified","needs_more_info","Quadríceps primário com glúteo/posterior secundários é plausível; a trajetória guiada e a altura podem alterar a ênfase, e 0,5 não pode ser presumido.","Confirmar vídeo, altura e posição dos pés; segundo revisor valida papéis e coeficientes.","","","false"
"2fadbea7-8bca-4201-81ac-288aafd53b64","Step-up com elevação de joelho","initial_technical_review","incomplete","needs_more_info","Quadríceps isolado não representa toda a exposição esperada; a elevação de joelho não elimina contribuição de glúteo/posterior na perna de apoio.","Confirmar vídeo, apoio e amplitude; segundo revisor define secundários sem inferência automática.","","","false"
"a67f2841-bf56-477d-8743-405c34d8360d","Subida no caixote (step-up)","initial_technical_review","incomplete","needs_more_info","Quadríceps isolado provavelmente subrepresenta a contribuição da extensão de quadril; coeficientes dependem de altura e técnica.","Confirmar demonstração, altura e inclinação do tronco; segundo revisor define secundários.","","","false"
